index,rdate,rid,hid,venue,track,going,course,class,distance,rfinishm,rm1,rm2,rm3,rm4,rm5,rm6,horsenum,jname,tname,exweight,bardraw,gear,rating,ratechg,horseweight,horseweightchg,besttime,age,priority,lastsix,rank,runpos,p1,p2,p3,p4,p5,p6,m1,m2,m3,m4,m5,m6,finishm,d1,d2,d3,d4,d5,d6,datediff,pricemoney,windist,win_t5,win,place_t5,place,ind_win,ind_pla
110515,2019-10-20,3,8,ST,TURF,GOOD TO FIRM,A,Hong Kong Group Two,1200,6883,2463,2246,2174,0,0,0,A377,M Chadwick,J Size,113,1,,104,0,1011,+3,1.08.74,5,,4/8/3/2/3/1,7,3-3-7,3,3,7,0,0,0,2483,2250,2218,0,0,0,6951,1.25,1.5,4.25,0,0,0,19,"HK$ 4,250,000",4-1/4,34.0,51.0,4.7,7.5,0,0
110516,2019-10-20,4,1,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,A417,K Teetan,A S Cruz,133,4,H/TT,80,-2,1092,-14,0.56.62,6,1,13/8/4/6/10/6,8,12-13-8,12,13,8,0,0,0,1347,2066,2235,0,0,0,5648,3.25,4.75,6.25,0,0,0,19,"HK$ 1,450,000",6-1/4,34.0,60.0,6.6,9.6,0,0
110517,2019-10-20,4,2,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,B216,C Y Ho,C S Shum,130,3,TT,77,-2,1145,+2,0.55.82,6,1,8/11/6/10/4/12,9,13-12-9,13,12,9,0,0,0,1359,2046,2262,0,0,0,5667,4,4.25,7.5,0,0,0,11,"HK$ 1,450,000",7-1/2,24.0,44.0,5.3,6.5,0,0
110518,2019-10-20,4,3,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,C328,N Callan,J Moore,128,5,CP1,75,,1190,,,4,1,,13,8-7-13,8,7,13,0,0,0,1331,2038,2389,0,0,0,5758,2.25,2,13.25,0,0,0,,"HK$ 1,450,000",13-1/4,54.0,82.0,11.0,13.0,0,0
110519,2019-10-20,4,4,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,B179,K H Chan,D J Hall,128,6,,75,-1,1128,+5,0.55.32,6,1,5/3/3/12/6/10,1,1-1-1,1,1,1,0,0,0,1295,2042,2210,0,0,0,5547,1,0.5,N,0,0,0,29,"HK$ 1,450,000",N,25.0,40.0,3.9,5.1,1,1
110520,2019-10-20,4,5,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,C343,Z Purton,W Y So,125,10,TT,72,+9,1184,+4,0.55.09,4,+1,1/1,6,2-3-6,2,3,6,0,0,0,1311,2034,2294,0,0,0,5639,1,0.5,5.75,0,0,0,105,"HK$ 1,450,000",5-3/4,1.5,1.4,1.1,1.0,0,0
110521,2019-10-20,4,6,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,C458,A Domeyer,K W Lui,124,13,H1,71,,1081,,,4,1,,3,3-4-3,3,4,3,0,0,0,1311,2050,2226,0,0,0,5587,1,1.5,2.5,0,0,0,,"HK$ 1,450,000",2-1/2,8.7,8.7,2.5,2.5,0,1
110522,2019-10-20,4,7,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,V390,K C Leung,T P Yung,122,11,V/TT,69,+1,1230,-16,0.55.34,6,2,3/2/1/3/2/2,5,4-6-5,4,6,5,0,0,0,1315,2050,2239,0,0,0,5604,1.25,1.75,3.5,0,0,0,25,"HK$ 1,450,000",3-1/2,12.0,19.0,2.1,2.3,0,0
110523,2019-10-20,4,8,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,B195,M L Yeung,T P Yung,117,1,,64,-2,1114,+18,0.57.02,5,1,7/9/10/11/7/3,7,10-8-7,10,8,7,0,0,0,1335,2042,2265,0,0,0,5642,2.5,2.5,6,0,0,0,19,"HK$ 1,450,000",6,78.0,99.0,9.4,14.0,0,0
110524,2019-10-20,4,9,ST,TURF,GOOD TO FIRM,A,Class 3,1000,5547,1295,2042,2210,0,0,0,C324,L Hewitson,D E Ferraris,117,9,,64,-3,1321,+34,0.57.08,4,*1,11/7/12/8,11,11-9-11,11,9,11,0,0,0,1339,2050,2334,0,0,0,5723,2.75,3.25,11,0,0,0,119,"HK$ 1,450,000",11,59.0,99.0,13.0,25.0,0,0
