age,tname,jname,rating,track,bardraw,besttime,going,win_t5,place_t5,ind_win,ind_pla
8.0,0.14150943396226415,0.45806451612903226,48.0,1,9.0,100.12,2,11.0,2.9,0,0
7.0,0.18292682926829268,0.23255813953488372,45.0,1,5.0,100.21,2,6.2,2.0,0,1
7.0,0.22988505747126436,0.1511627906976744,44.0,1,7.0,100.11,2,22.0,4.3,0,0
3.0,0.2972972972972973,0.19736842105263158,41.0,1,11.0,83.01335999999999,2,71.0,14.0,0,0
6.0,0.2818181818181818,0.49444444444444446,60.0,1,7.0,69.83,2,3.8,1.8,1,1
5.0,0.24528301886792453,0.23255813953488372,60.0,1,5.0,69.73,2,8.7,2.8,0,0
8.0,0.3270440251572327,0.1276595744680851,59.0,1,1.0,69.87,2,12.0,4.5,0,0
7.0,0.14150943396226415,0.19736842105263158,58.0,1,3.0,69.63,2,24.0,6.1,0,0
6.0,0.2288135593220339,0.14285714285714285,58.0,1,10.0,70.27,2,23.0,5.0,0,0
5.0,0.5035460992907801,0.45806451612903226,58.0,1,12.0,69.79,2,6.4,1.9,0,1
0.0,0.0,0.0,0.0,1,0.0,83.01335999999999,2,25.0,6.4,0,0
6.0,0.25,0.21374045801526717,49.0,1,8.0,69.79,2,6.4,2.6,0,1
7.0,0.23275862068965517,0.16296296296296298,46.0,1,9.0,70.23,2,21.0,5.1,0,0
6.0,0.16666666666666666,0.3613861386138614,45.0,1,4.0,70.41,2,24.0,7.0,0,0
5.0,0.16666666666666666,0.40131578947368424,44.0,1,2.0,70.69,2,8.0,3.2,0,0
6.0,0.1610738255033557,0.1511627906976744,43.0,1,6.0,70.23,2,9.1,2.3,0,0
5.0,0.232,0.49444444444444446,80.0,1,4.0,69.47,2,2.7,1.8,0,0
